gene,PT_seg01,PT_seg02,PT_seg03,PT_seg04,PT_seg05,PT_seg06,PT_seg07,PT_seg08,PT_seg09,PT_seg10,PT_seg11,PT_seg12,PT_seg13,PT_seg14,PT_seg15,PT_seg16
WASH7P,0.008467928510216357,0.008575656241973678,0.00807943329584898,0.007069275486918964,0.008699817737142445,0.006670754353372614,0.008953608755699187,0.00998084786924469,0.00785858505093114,0.009772825378593974,0.009187664888747088,0.006659961098386146,0.010536327583646223,0.0057253041890720485,0.010462931291599748,0.012782196924577351
WASH9P,0.013723813431706198,0.015948205752422288,0.01578255473061759,0.014873989651535741,0.01440658258982563,0.016639692884351378,0.02065504572661311,0.02234605191837591,0.02674993177034335,0.019850715789532136,0.01307297847070894,0.018331957615481592,0.016514276193345643,0.022336445953398603,0.01964075165646666,0.020561036818167743
RP11-206L10.17,0.7156198729963363,0.7370160488924901,0.7000909891969255,0.6533788821038893,0.6568458985382353,0.5701195799317393,0.5953488325318985,0.6573636459677807,0.6914147842279915,0.6679760856874399,0.5912821447620025,0.5390037511616933,0.6189301432153833,0.6307659836089584,0.7543069928404528,0.7228543207536335
MTND1P23,0.011479582665367331,0.012080834687116364,0.012571380542472765,0.009719908618863071,0.00984195288808484,0.008689588021260089,0.009354858572524083,0.009883500304995832,0.008483581109239705,0.010749082922820898,0.012475908505958278,0.002716112556832582,0.009487709725193165,0.008836309240120773,0.010522849685451122,0.010912749911445419
MTND2P28,0.6518910549093976,0.633403149217801,0.6184267657656451,0.5765361378084146,0.5810653866962747,0.4677397484358172,0.4705463113685074,0.518682279170805,0.5477573052452491,0.5486718953056848,0.47111759711239304,0.41674348759582813,0.44644421638603654,0.4529891692835079,0.4816764870028545,0.5200367172753889
MTCO1P12,0.10131298122908268,0.09464786147836342,0.08989114640396866,0.08744597365163974,0.09104690232511489,0.06403493505806998,0.05922720465881539,0.07168959573634798,0.07724284467724682,0.0756118966577451,0.0676530795627749,0.05545227332761765,0.06113022473118055,0.06829537818681457,0.06720747633524904,0.07301290455986471
MTCO2P12,0.023196772840003363,0.02448176096984738,0.022106826993657167,0.02082966402735162,0.020495618037072658,0.017219790891032392,0.016924846125642875,0.018688332920947834,0.017792484549510115,0.018108846685971177,0.02258678146644489,0.016003666281553624,0.017706141844659296,0.01686156085890545,0.01359422960881782,0.01874325372814353
MTATP8P1,0.003997558092174533,0.0038983880162164544,0.0037731762752779468,0.0026647298501958736,0.0032147964184935916,0.0025912778518453806,0.0027254208249134658,0.003280979605562202,0.003455566216023537,0.0018326978162480103,0.003977820485621899,0.002689590077085702,0.0032095441221002092,0.003387784385026456,0.002014849650214043,0.0013625613809411042
MTATP6P1,1.8747942303043197,1.8525885214720852,1.7935471945676287,1.7425407287923238,1.7410983600260868,1.5742703905883164,1.6127326386110619,1.6691000877986601,1.7071484014067528,1.632571492772651,1.5574497489610335,1.5596522751620245,1.564033577914822,1.6167813839915142,1.6490536888207734,1.7011577871110704
MTCO3P12,0.014081521020497218,0.01708076925736816,0.01735913997521781,0.014817874933358512,0.013999496048570046,0.01325926803422916,0.011632464274374284,0.012938094979865315,0.013720755670294132,0.01491873870099137,0.0127538331374005,0.011393218438970119,0.014963409079942373,0.017167431436632536,0.012165563679020715,0.01602250992083082
