"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"PRRX2",0,0,0,0,0,0
"PTF1A",0,0,0,0,0,0
"RARA",0,0,0,0,0,0
"RARG",0,0,0,0,0,0
"RELB",0,0,0,0,0,0
"REL",0,0,0,0,0,0
"REST",0,0,0,0,0,0
"RFX1",0,0,0,0,0,0
"RFX2",0,0,0,0,0,0
"RFX3",0,0,0,0,0,-0.0819435444258627
"RFX5",0,0.055463895112011,0,0.0748012547754435,0.0558232736256004,-0.0956667626493655
"RORA",0,0,0,0,0,0
"RORG",0,0,0,0,0,0
"RUNX2",0,0,0,0,0,0
"RXRA",0,0,0,0,0,0
"RXRB",0,0,0,0,0,0
"RXRG",0,0,0,0,0,0
"SALL4",0,0,0,0,0,0
"SMAD2",0,0,0,0,0,0
"SMAD3",0,0,0,0,0,0
"SMAD4",0,0,0,0,0,0.0714144673490673
"SMCA1",0,0,0,0,0,0
"SMCA5",0,0,0,0,0,0
"SNAI1",0,0,0,0,0,0
"SNAI2",0,0.0763891073228592,0,0,0,0
"SOX10",0,0,0,0,0,0
"SOX17",0,0,0,0,0,0
"SOX3",0,0,0,0,0,0
"SOX5",0,0,0,0,0,0
"SOX9",0,0,0,0,0,0
"SRBP1",0,0,0,0,0,0
"SRBP2",0,0,0,0,0,0
"SRF",0,0,0,0,0,0
"SRY",0,0,0,0,0,0
"STAT1",0,0,0,0,0,0
"STAT3",0,0,0,0,0,0
"STAT4",0,0,0,0,0,0
"STAT6",0,0,0,0,0,0
"STF1",0,0,0,0,0,0
"SUH",0,0,0,0,0,0
"TAF1",0,0,0,0,0,0
"TBP",0,0,0,0,0,0
"TBX21",0,0,0,0,0,0
"TBX3",0,0,0,0,0,0
"TCF7",0,0,0,0,0,0
"TF65",0,0,0,0,0,0
"TFAP4",0,0,0,0,0,0
"TFEB",0,0,0,0,0,0
"TGIF1",0,0,0,0,0,0
"THAP1",0,0,0,0,0,0
"THRA",0,0,0,0,0,0
"THRB",0,0,0,0,0,0
"TWIST1",-0.0647080491161776,0,0,0,0,0
"TYY1",0,0,0,0,0,0
"VDR",0,0,0,0,0,0
"Z324A",0,0,0,0,0,0
"Z354A",0,0,0,0,0,0
"ZBT14",0,0,0,0,0,0
"ZBT18",0,0,0,0,0,0
"ZBT48",0,0,0,0,0,0
"ZBT7A",0,0,0,0,0,0
"ZBTB6",0,0,0,0,0,0
"ZEB1",0.184677618962159,0.214058681916165,0,0,0.0717131199089252,-0.129149457775047
"ZFP28",0,0,0,0,0,0
"ZFP42",0,0,0,0,0,0
"ZFP82",0,0,0,0,0,0
"ZFX",0,0,0,0,0,0
"ZIC1",0,0,0,0,0,0
"ZIC3",0.0467344980633234,0,0,0,0,0
"ZIM3",0,0,0,0,0,0
"ZKSC1",0,0,0,0,0,0
"ZN121",0,0,0,0,0,0
