"TF_name","TF_group"
"NR1I2","NA"
"NR1I3","NA"
"NR2C1","NA"
"NR2C2","NA"
"NR2E3","NA"
"NR4A1","NA"
"NR4A2","NA"
"NR5A2","NA"
"NR6A1","NA"
"NRF1","NA"
"OLIG2","NA"
"OSR2","NA"
"OTX2","NA"
"OVOL1","NA"
"OZF","NA"
"P53","NA"
"P63","NA"
"P73","NA"
"PAX5","NA"
"PAX6","NA"
"PBX1","NA"
"PBX2","NA"
"PDX1","NA"
"PEBB","NA"
"PIT1","NA"
"PO2F1","NA"
"PO2F2","NA"
"PO3F1","NA"
"PO3F2","NA"
"PRD14","NA"
"PRDM1","NA"
"PRDM6","NA"
"PRGR","NA"
"PRRX2","NA"
"PTF1A","NA"
"RARA","NA"
"RARG","NA"
"REL","NA"
"RELB","NA"
"REST","NA"
"RFX1","NA"
"RFX2","NA"
"RFX3","NA"
"RFX5","NA"
"RORA","NA"
"RORG","NA"
"RUNX2","NA"
"RXRA","NA"
"RXRB","NA"
"RXRG","NA"
"SALL4","NA"
"SMAD2","NA"
"SMAD3","NA"
"SMAD4","NA"
"SMCA1","NA"
"SMCA5","NA"
"SNAI1","NA"
"SNAI2","NA"
"SOX10","NA"
"SOX17","NA"
"SOX3","NA"
"SOX5","NA"
"SOX9","NA"
"SRBP1","NA"
"SRBP2","NA"
"SRF","NA"
"SRY","NA"
"STAT1","NA"
"STAT3","NA"
"STAT4","NA"
"STAT6","NA"
"STF1","NA"
"SUH","NA"
"TAF1","NA"
"TBP","NA"
"TBX21","NA"
"TBX3","NA"
"TCF7","NA"
"TF65","NA"
"TFAP4","NA"
"TFEB","NA"
"TGIF1","NA"
"THA","NA"
"THAP1","NA"
"THB","NA"
"TWST1","NA"
"TYY1","NA"
"VDR","NA"
"Z324A","NA"
"Z354A","NA"
"ZBT14","NA"
"ZBT18","NA"
"ZBT48","NA"
"ZBT7A","NA"
"ZBTB6","NA"
"ZEB1","NA"
"ZFP28","NA"
"ZFP42","NA"
"ZFP82","NA"
"ZFX","NA"
"ZIC1","NA"
"ZIC3","NA"
"ZIM3","NA"
"ZKSC1","NA"
"ZN121","NA"
"ZN134","NA"
"ZN136","NA"
"ZN140","NA"
"ZN214","NA"
"ZN250","NA"
"ZN257","NA"
"ZN260","NA"
"ZN264","NA"
"ZN274","NA"
"ZN317","NA"
"ZN320","NA"
"ZN322","NA"
"ZN329","NA"
"ZN331","NA"
"ZN335","NA"
"ZN350","NA"
"ZN382","NA"
"ZN384","NA"
"ZN394","NA"
"ZN418","NA"
"ZN436","NA"
"ZN449","NA"
"ZN490","NA"
"ZN502","NA"
"ZN528","NA"
"ZN547","NA"
"ZN549","NA"
"ZN554","NA"
"ZN563","NA"
"ZN582","NA"
"ZN586","NA"
"ZN667","NA"
"ZN680","NA"
"ZN708","NA"
"ZN768","NA"
"ZN770","NA"
"ZN816","NA"
"ZNF18","NA"
"ZNF41","NA"
"ZNF76","NA"
"ZNF8","NA"
"ZNF85","NA"
"ZSC22","NA"
"ZSC31","NA"
