,names,scores,logfoldchanges,pvals,pvals_adj
329,MUSK,14.541251,4.0667553,6.636843468141136e-48,2.8350383014742887e-46
347,AADACL2-AS1,14.235989,1.8793901,5.478284433220775e-46,2.218643363801669e-44
354,ERBB3,14.173596,1.8753892,1.3348478217938654e-45,5.321889949067497e-44
363,C15orf48,14.065135,2.2037897,6.220397868792875e-45,2.4260903948698475e-43
369,ALDH1A1,13.985725,2.385346,1.9052342556421983e-44,7.335151884222462e-43
372,H2AC6,13.879668,1.9533423,8.413204001646771e-44,3.197908749863235e-42
382,TMEM45B,13.6743765,1.7447437,1.4444011362272305e-42,5.376348710591855e-41
387,MDK,13.637846,1.6092234,2.3850311411464973e-42,8.768410594940431e-41
392,LINC02384,13.521933,3.1789188,1.160850402323334e-41,4.207437791531906e-40
398,KLF5,13.47349,2.1234388,2.2402152656709625e-41,8.022295824631285e-40
403,DOCK3,13.385685,1.6629786,7.331875173315246e-41,2.594500443480253e-39
405,ENSG00000290461,13.383659,2.5133655,7.5344310319607e-41,2.655701908534517e-39
412,TMEM30B,13.310934,2.468776,1.999662855255676e-40,6.952703737624435e-39
424,DEPTOR,13.097147,1.7275347,3.418692999474488e-39,1.1485912191680109e-37
436,RUSC2,12.982436,1.5465025,1.5390547208848068e-38,5.038719114488014e-37
442,CASC15,12.902533,1.5761307,4.355429617935587e-38,1.4104830825881293e-36
449,LINC02343,12.767534,2.8952293,2.4891590822431498e-37,7.946263895822837e-36
452,KRT18,12.710849,1.5845436,5.147237185452336e-37,1.6315650590848123e-35
504,AADACP1,12.051557,2.4102175,1.903214903163955e-33,5.445865801860369e-32
520,LYN,11.917503,1.8672165,9.594092054092765e-33,2.672788905939104e-31
540,DPF3,11.703313,2.0338259,1.22573409504168e-31,3.27733165411964e-30
552,CSGALNACT1,11.612477,2.2510574,3.561439937228852e-31,9.327853126105522e-30
556,LGR5,11.589278,1.6400782,4.670500889664597e-31,1.2161604711389337e-29
561,LINC00871,11.479401,2.063194,1.6743646218575264e-30,4.297535862767651e-29
575,REG4,11.363445,3.3765907,6.358675078567989e-30,1.5933099103992775e-28
578,CHMP5,11.3406725,1.529715,8.25075893374786e-30,2.0587881228146083e-28
588,BMP7,11.248185,2.3855915,2.3640705606596755e-29,5.802160044978829e-28
592,PARVA,11.190136,1.6117967,4.5573606598231297e-29,1.107907962030986e-27
594,MET,11.1855,1.8800997,4.801882432689817e-29,1.1641969287147029e-27
602,DUSP6,11.104071,1.6267691,1.1985823419045907e-28,2.870996768506043e-27
618,ENSG00000285744,10.941392,1.6638063,7.306963374990505e-28,1.704736409762089e-26
624,LINC02694,10.912426,1.6465707,1.0053663650692885e-27,2.3243914891376422e-26
634,GLDC,10.852123,2.510367,1.948466905777872e-27,4.436223953878274e-26
658,CDH19,10.620424,2.8613925,2.3947055115572706e-26,5.258679508304651e-25
664,ENSG00000236924,10.566757,1.9445851,4.249361959566562e-26,9.2634025415047e-25
691,ENSG00000243004,10.419411,1.8456054,2.0220117789012414e-25,4.247882122396624e-24
694,HMGA1P4,10.40233,1.7328229,2.4194314307503078e-25,5.0649964176302534e-24
698,CDCP1,10.35755,1.803339,3.867434602218474e-25,8.049378677308775e-24
709,ENSG00000279240,10.2899885,3.2457156,7.818546624199358e-25,1.6067874568701107e-23
713,ENSG00000251095,10.28427,1.5158145,8.296831062889876e-25,1.69730269212437e-23
716,GALNT3,10.25899,1.9728531,1.0782781849387516e-24,2.19833964954388e-23
739,TMEM51,10.072353,1.6256342,7.320495560724538e-24,1.449635881401313e-22
744,SULF1,10.05055,1.6043792,9.135562037326967e-24,1.7971613871895076e-22
757,TESC,9.981697,2.3813486,1.833051818128336e-23,3.543834339336258e-22
762,EPAS1,9.915322,2.0515478,3.5710148424895596e-23,6.852147303647613e-22
763,CAPN8,9.907409,1.8488871,3.8654103250303295e-23,7.40911609416337e-22
775,RGL3,9.845966,1.5810059,7.135024628705843e-23,1.3488880596797844e-21
789,ENSG00000284977,9.743999,3.2256758,1.956989470520084e-22,3.6383780404767696e-21
805,EFNB2,9.649145,2.0371983,4.956704131211161e-22,9.05582778187978e-21
814,GSN,9.57294,1.6115476,1.039084910234285e-21,1.8773637839389028e-20
831,ARL4C,9.466345,2.5677378,2.898082957367062e-21,5.137797068984433e-20
