,1,2,3,4,5,6,7,8,9,10,11,12,13,14
36,RBMS3,PRIM2,AC073529.1,SOX5,CRTAC1,LRP1B,NETO1,SPTBN1,ERBB4,HS6ST2,STEAP4,ANKUB1,AC107214.1,ZFY-AS1
37,SEZ6L,KIF15,CKAP2L,FMN1,ADM,HEPACAM2,SLIT1,PTP4A1,VMP1,TNFAIP2,SVIL,MGAM,LRP2BP,AL450992.1
38,SCGN,RAD18,GPSM2,CHN2,FAM222A,AMPH,SDK2,MAP1B,ADGRG6,PLAU,THBS1,STPG4,DCLK2,SPRY3
39,AFF3,POLA1,HMMR,NAALADL2,TSC22D2,NR2F1-AS1,LUZP2,CREB5,ARSJ,GCNT2,ALDH1A3,AC104211.1,INPP4B,LINC00298
40,TRHDE,IRAK4,NEK2,GPR160,EAF2,NWD2,LRP1B,AP001636.3,ATF3,PTPRG,MIR181A1HG,AC090921.1,CFAP97,SI
41,GRIK3,ASF1B,PARPBP,KDM4C,MAN1A1,RALYL,CHRM3,LINC01376,SPRY1,EPHA2,MTUS1,AL357153.2,AC002460.2,LINC00685
42,STUM,KIF18B,DEPDC1B,VAV2,KLF10,MT-CO1,CAMK2D,AC010280.1,LAMB1,RNF19A,MET,AC025159.1,AC015631.1,OR2M4
43,ANXA13,CENPI,TACC3,FYB2,SAMD4A,MT-ND4,KCNJ6,LINC02240,S100A6,SPTBN1,SAT1,AL161449.2,ELF2,EYA2
44,KCNMB2,BLM,CCDC18,EPCAM,ELAVL2,GLI3,PTPRN2,IRS2,HOXB-AS3,TFAP2A,ADGRL3,LINC01588,RAPGEF2,CA5A
45,CHD7,HIST1H3B,TROAP,C15orf48,RYBP,HMGCS2,SLC7A2,SDK2,TRHDE,MBNL2,MACC1,AC103770.1,PDGFC,NALCN
46,KCNH6,E2F8,CKAP2,CLDN4,FNDC3B,CTNND2,ELL2,KLHL24,CAPN8,VMP1,ANKRD29,AL109615.3,WDR17,CCDC85A
47,PLCG2,SLC8A1,HMGB2,IQSEC1,RGS2,EPHA5-AS1,SAAL1,VLDLR-AS1,EPHA6,MECOM,LINC02742,EFCAB8,PRIMPOL,KCNIP2
48,SYT1,STIL,ANLN,TACC1,BCL6,TNR,CHN2,NCAM1,RAB27B,NAALADL2,PLAU,AC008467.1,AC105383.1,MIEF1
49,ANGPT2,SYNE2,FAM83D,GLYATL3,IFRD1,THSD4,TMTC1,CTNNA2,ENC1,CYP4X1,ADAM9,CASS4,ANAPC10,AC116362.1
50,CMIP,DEPDC1B,INCENP,LINC01208,SERPINI1,UBR4,BRINP3,RUNX1,LUZP2,ICAM1,AF117829.1,DCDC2C,SPOCK3,AL136441.1
51,ELAVL4,NCAPG,UBE2C,ZCCHC7,SOX4,TRPM3,COL5A2,IL6R,NPAS2,LARGE1,FRMD5,NUP210L,FBXW7,AP000695.1
